game_date,player_id,team,AVG,SLG,OBP,HR,xwOBA,K%,BB%,K/BB,Contact%,SweetSpot%,HardHit%,lineup_pos
2025-04-05,crowp001,CHC,0.1794871794871795,0.2564102564102564,0.2558139534883721,0.0,0.2232558139534884,0.23255813953488372,0.06976744186046512,3.3333333333333335,0.7674418604651163,0.32142857142857145,0.39285714285714285,7.0
2025-04-05,happi001,CHC,0.21428571428571427,0.30952380952380953,0.32653061224489793,1.0,0.29591836734693877,0.22448979591836735,0.14285714285714285,1.5714285714285714,0.7755102040816326,0.3,0.16666666666666666,1.0
2025-04-05,suzus001,CHC,0.2558139534883721,0.5813953488372093,0.3333333333333333,4.0,0.3875,0.375,0.10416666666666667,3.6,0.625,0.5,0.5416666666666666,3.0
2025-04-05,swand001,CHC,0.20512820512820512,0.4358974358974359,0.27906976744186046,2.0,0.31162790697674425,0.18604651162790697,0.09302325581395349,2.0,0.813953488372093,0.41379310344827586,0.4482758620689655,5.0
2025-04-05,tuckk001,CHC,0.3,0.725,0.42857142857142855,4.0,0.47959183673469385,0.12244897959183673,0.1836734693877551,0.6666666666666666,0.8775510204081632,0.46875,0.4375,2.0
2025-04-06,crowp001,CHC,0.18604651162790697,0.2558139534883721,0.2708333333333333,0.0,0.23333333333333336,0.22916666666666666,0.08333333333333333,2.75,0.7708333333333334,0.2903225806451613,0.3548387096774194,7.0
2025-04-06,happi001,CHC,0.21739130434782608,0.32608695652173914,0.3333333333333333,1.0,0.3055555555555556,0.24074074074074073,0.14814814814814814,1.625,0.7592592592592593,0.3125,0.1875,1.0
2025-04-06,shawm002,CHC,0.1951219512195122,0.2926829268292683,0.3125,1.0,0.28333333333333327,0.22916666666666666,0.14583333333333334,1.5714285714285714,0.7708333333333334,0.39285714285714285,0.25,8.0
2025-04-06,suzus001,CHC,0.2391304347826087,0.5434782608695652,0.33962264150943394,4.0,0.37735849056603776,0.37735849056603776,0.1320754716981132,2.857142857142857,0.6226415094339622,0.52,0.52,2.0
2025-04-06,swand001,CHC,0.23255813953488372,0.5116279069767442,0.3125,3.0,0.35416666666666674,0.1875,0.10416666666666667,1.8,0.8125,0.45161290322580644,0.4838709677419355,5.0
