date,vis_team,home_team,away_lineup,home_lineup
2025-03-28,COL,TBA,"['doylb001', 'tovae001', 'mcmar001', 'bryak001', 'toglm001', 'goodh001', 'martn003', 'farmk001', 'beckj003']","['meadc001', 'diazy001', 'loweb001', 'camij001', 'morec001', 'jansd001', 'lowej002', 'deluj001', 'wallt003']"
2025-03-28,BOS,TEX,"['duraj001', 'dever001', 'brega001', 'casat001', 'stort001', 'campk002', 'abrew002', 'wongc001', 'rafac001']","['semim001', 'seagc001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'jungj001', 'heimj001', 'tavel001']"
2025-03-28,BAL,TOR,"['cowsc001', 'rutsa001', 'westj002', 'ohear001', 'oneit001', 'mullc002', 'mounr001', 'hollj003', 'matej003']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'kirka001', 'sprig001', 'wagnw001', 'luken001', 'rodea001']"
2025-03-29,CHN,ARI,"['happi001', 'tuckk001', 'suzus001', 'buscm003', 'swand001', 'crowp001', 'amaym001', 'workg001', 'bertj001']","['martk001', 'carrc005', 'gurrl001', 'gricr001', 'naylj001', 'suare001', 'moreg001', 'mccaj003', 'perdg001']"
2025-03-29,SFN,CIN,"['ramoh002', 'adamw002', 'lee-j001', 'chapm001', 'florw001', 'matol002', 'bailp001', 'schmc003', 'fitzt001']","['friet001', 'mclam001', 'delae003', 'lux-g001', 'candj002', 'encac001', 'espis001', 'fralj001', 'trevj001']"
2025-03-29,DET,LAN,"['mckiz001', 'greer003', 'torks001', 'carpk001', 'keitc001', 'margm001', 'sweet001', 'rogej004', 'kreir001']","['ohtas001', 'hernt002', 'freef001', 'smitw003', 'muncm001', 'pagea001', 'confm001', 'edmat001', 'rojam002']"
2025-03-29,PIT,MIA,"['bae-j001', 'reynb001', 'cruzo001', 'bartj003', 'suwij001', 'hayek001', 'trioj001', 'fraza001', 'kinei001']","['edwax001', 'lopeo001', 'bridj001', 'wagae001', 'myerd001', 'hilld002', 'stowk001', 'fortn001', 'sanoj001']"
2025-03-29,ATL,SDN,"['profj001', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'harrm004', 'baldd001', 'arcio002', 'kelej001']","['tatif002', 'arral001', 'machm001', 'merrj002', 'cronj001', 'bogax001', 'sheeg001', 'heywj001', 'maldm001']"
2025-03-29,MIN,SLN,"['wallm001', 'corrc001', 'buxtb001', 'larnt001', 'frant002', 'gaspm001', 'castw003', 'miraj002', 'vazqc001']","['nootl001', 'contw001', 'donob001', 'arenn001', 'burla001', 'herri001', 'walkj003', 'scotv001', 'winnm001']"
2025-03-29,PHI,WAS,"['schwk001', 'bohma001', 'harpb003', 'realj001', 'keplm001', 'castn001', 'stotb001', 'marsb002', 'sosae001']","['abrac001', 'crewd001', 'woodj004', 'bellj005', 'rosaa003', 'lowen001', 'ruizk001', 'dejop001', 'younj004']"
2025-03-29,ANA,CHA,"['wardt002', 'schan001', 'troum001', 'solej001', 'moncy001', 'ohopl001', 'rengl001', 'adelj001', 'newmk001']","['vargm001', 'robel002', 'benia002', 'vauga001', 'maton001', 'sosal001', 'thaim001', 'amayj001', 'baldb001']"
2025-03-29,NYN,HOU,"['lindf001', 'sotoj001', 'alonp001', 'nimmb001', 'vienm001', 'winkj002', 'torrl001', 'batyb001', 'sirij001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'penaj004', 'carav001', 'dezez001', 'dubom001', 'mccoc001']"
2025-03-29,CLE,KCA,"['kwans001', 'ramij003', 'manzk001', 'santc002', 'jonen002', 'thoml002', 'naylb001', 'schnd002', 'roccb001']","['indij001', 'wittb002', 'pasqv001', 'peres002', 'massm001', 'melem001', 'garcm003', 'biggc002', 'isbek001']"
2025-03-29,MIL,NYA,"['chouj001', 'yelic001', 'contw002', 'hoskr001', 'frels001', 'ortij005', 'mitcg001', 'caprv001', 'turab002']","['goldp001', 'bellc002', 'judga001', 'chisj001', 'volpa001', 'wella002', 'reyep001', 'domij003', 'grist001']"
2025-03-29,ATH,SEA,"['butll001', 'rookb001', 'bledj001', 'langs001', 'sodet001', 'andum001', 'urial001', 'muncm002', 'wilsj006']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'ralel001', 'polaj001', 'tellr001', 'blisr001', 'crawj002']"
2025-03-29,COL,TBA,"['doylb001', 'tovae001', 'mcmar001', 'bryak001', 'toglm001', 'goodh001', 'martn003', 'farmk001', 'beckj003']","['diazy001', 'loweb001', 'camij001', 'aranj001', 'morec001', 'misnk001', 'jansd001', 'wallt003', 'deluj001']"
2025-03-29,BOS,TEX,"['duraj001', 'dever001', 'brega001', 'casat001', 'stort001', 'abrew002', 'campk002', 'hamid002', 'narvc002']","['semim001', 'seagc001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'smitj007', 'heimj001', 'tavel001']"
2025-03-29,BAL,TOR,"['cowsc001', 'rutsa001', 'ohear001', 'westj002', 'mullc002', 'kjerh001', 'sancg002', 'hollj003', 'uriar001']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'kirka001', 'wagnw001', 'schnd001', 'cleme002', 'luken001']"
2025-03-30,CHN,ARI,"['happi001', 'suzus001', 'tuckk001', 'turnj001', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'amaym001']","['martk001', 'perdg001', 'gurrl001', 'gricr001', 'naylj001', 'suare001', 'hampg001', 'thoma004', 'herrj003']"
2025-03-30,SFN,CIN,"['wadel001', 'adamw002', 'lee-j001', 'chapm001', 'ramoh002', 'florw001', 'matol002', 'huffs001', 'fitzt001']","['mclam001', 'espis001', 'delae003', 'encac001', 'candj002', 'stees001', 'lux-g001', 'dunnb001', 'wynna001']"
2025-03-30,PIT,MIA,"['fraza001', 'reynb001', 'phamt001', 'mccua001', 'suwij001', 'rodre006', 'trioj001', 'valde002', 'kinei001']","['edwax001', 'lopeo001', 'myerd001', 'wagae001', 'bridj001', 'hilld002', 'fortn001', 'conig001', 'sanoj001']"
