team,player_id,game_date,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9
WSH,abrac001,2025-05-15,0.35320675,0.11090337,0.14175123,0.115197964,0.051079772,0.055790253,0.14751995,0.02056247,0.003988198
WSH,abrac001,2025-05-16,0.16083403,0.10880974,0.21782814,0.22717506,0.06545895,0.056997634,0.1465527,0.01387431,0.0024693625
WSH,abrac001,2025-05-17,0.2228389,0.11987146,0.1340864,0.16584174,0.093399495,0.09109152,0.14518076,0.022663321,0.005026361
WSH,abrac001,2025-05-18,0.20188579,0.16938955,0.13537699,0.15391222,0.11212311,0.09479088,0.1111674,0.01666844,0.0046856273
WSH,abrac001,2025-05-20,0.13446769,0.20771241,0.20064679,0.19374393,0.11096002,0.06500794,0.08225836,0.0043019536,0.0009009154
WSH,abrac001,2025-05-22,0.15882444,0.19949128,0.19779071,0.17906342,0.09925339,0.06546223,0.09302486,0.005919702,0.0011700107
WSH,abrac001,2025-05-23,0.14164257,0.20319581,0.21965471,0.18336634,0.09772989,0.06492023,0.083334535,0.0052060364,0.000949887
WSH,abrac001,2025-05-24,0.17824772,0.24384212,0.19519185,0.1502727,0.08549275,0.06913048,0.06847683,0.007446665,0.0018988667
WSH,abrac001,2025-05-25,0.27724642,0.22724622,0.13952914,0.10713749,0.082451925,0.07810686,0.07323106,0.011442345,0.0036085818
WSH,abrac001,2025-05-27,0.2600921,0.24720015,0.1479694,0.11612309,0.07666439,0.07496615,0.06175718,0.011306056,0.0039214706
WSH,abrac001,2025-05-28,0.26360533,0.2650179,0.14450677,0.11605185,0.074059375,0.07070888,0.047733802,0.012880026,0.0054361466
WSH,abrac001,2025-05-29,0.4224094,0.19731247,0.10993056,0.07650457,0.061294284,0.06993817,0.041705597,0.013774449,0.0071305204
WSH,abrac001,2025-05-30,0.42099413,0.16920374,0.09055922,0.08048713,0.06949628,0.0882961,0.056143858,0.017243087,0.0075763697
WSH,abrac001,2025-05-31,0.45316353,0.14497109,0.08674221,0.06904455,0.06287989,0.09666188,0.058848936,0.018941393,0.008746534
WSH,abrac001,2025-06-01,0.504384,0.10521229,0.07279113,0.09171075,0.0557785,0.089734174,0.05328253,0.020241058,0.006865531
WSH,abrac001,2025-06-03,0.498448,0.09174344,0.05774825,0.09907093,0.058267,0.09981173,0.06030026,0.025667865,0.00894249
WSH,abrac001,2025-06-04,0.5738298,0.07507504,0.04632459,0.075352095,0.049193833,0.09150207,0.0552686,0.024234982,0.009218951
WSH,abrac001,2025-06-05,0.62196577,0.05914765,0.03566811,0.06037067,0.038348597,0.090295956,0.05901504,0.024819816,0.010368473
WSH,abrac001,2025-06-06,0.6013533,0.070412815,0.04064682,0.068047665,0.04450824,0.08600213,0.053585686,0.024828628,0.0106146475
WSH,abrac001,2025-06-07,0.5115559,0.066023804,0.04482119,0.07668753,0.05175461,0.12371823,0.077754825,0.032963056,0.014720857
