pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-06-29,89.9,1.9,6.03,"Bride, Jonah",681146,669373,field_out,hit_into_play,,,,,9.0,"Jonah Bride grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,MIN,X,5.0,ground_ball,1,2,2025,1.09,0.84,0.5783099739761028,1.7219672997659203,,,,0,6,Top,102.33,163.75,,,,,-5.599530424846725,-130.72558578188827,-6.519898069584628,13.710965916609004,25.02597433252966,-21.443295604052988,3.26,1.46,4.0,95.1,-25.0,90.3,1861.0,6.4,777314,693307,679529,650402,656716,595879,682985,678009,672761,54.12,0.073,0.064,0.0,1.0,0.0,0.0,2.0,39,4,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,139.0,0.018,-0.189,64.6,7.4,0.094,0.189,95.1,3,-3,0.869,0.131,28,29,29,30,2,1,5.0,3.0,7.0,,1.97,1.09,-1.09,46.8,11.81164664491178,6.105268863239462,35.8440465188377,45.32617010373703,30.146449231274097
CH,2025-06-29,90.5,1.89,5.96,"Bride, Jonah",681146,669373,,ball,,,,,14.0,Ball,R,R,L,DET,MIN,B,,,0,2,2025,1.19,0.2,0.1300217394631346,0.0980402731866725,,,,0,6,Top,,,,,,,-6.946698106328362,-131.52084791124653,-9.183385992606372,15.29123277046522,25.471753739435258,-28.146268197745844,3.26034464090064,1.46042725808081,,,,91.0,1880.0,6.4,777314,693307,679529,650402,656716,595879,682985,678009,672761,54.05,,,,,,,,39,3,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,133.0,-0.002,0.024,,,,-0.024,,3,-3,0.871,0.129,28,29,29,30,2,1,5.0,3.0,7.0,,2.57,1.19,-1.19,44.5,,,,,
SL,2025-06-29,89.3,1.86,6.04,"Bride, Jonah",681146,669373,,called_strike,,,,,8.0,Called Strike,R,R,L,DET,MIN,S,,,0,1,2025,-0.22,0.23,0.0304411639342039,1.484681515342221,,,,0,6,Top,,,,,,,-4.042657752198417,-130.04858064256598,-5.778314520550355,-1.8186504100382344,23.81749486857528,-28.679529339599103,3.26034464090064,1.40898255115972,,,,90.0,2158.0,6.4,777314,693307,679529,650402,656716,595879,682985,678009,672761,54.09,,,,,,,,39,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,187.0,0.004,-0.055,,,,0.055,,3,-3,0.867,0.133,28,29,29,30,2,1,5.0,3.0,7.0,,2.6,-0.22,0.22,47.5,,,,,
FF,2025-06-29,96.9,1.43,6.22,"Bride, Jonah",681146,669373,,called_strike,,,,,5.0,Called Strike,R,R,L,DET,MIN,S,,,0,0,2025,0.06,1.21,-0.0796115699734492,2.63771787086671,,,,0,6,Top,,,,,,,-4.185665002943369,-140.95516361192838,-6.843835376298473,1.7189016216586304,32.10835006194876,-14.622060391634244,3.31178585736732,1.46042725808081,,,,97.6,2144.0,6.7,777314,693307,679529,650402,656716,595879,682985,678009,672761,53.82,,,,,,,,39,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,160.0,0.004,-0.039,,,,0.039,,3,-3,0.863,0.137,28,29,29,30,2,1,5.0,3.0,7.0,,1.21,0.06,-0.06,55.3,,,,,
CH,2025-06-29,90.0,1.85,6.0,"Bride, Jonah",681146,669373,strikeout,swinging_strike,,,,,14.0,Jonah Bride strikes out swinging.,R,R,L,DET,MIN,S,2.0,,2,2,2025,1.24,0.74,1.1497975633040134,1.1702413801832112,,,,1,3,Top,,,,,,,-4.3770535971384925,-130.8966876181055,-7.617544407563825,15.24311050127606,25.86909796587405,-22.34205074886699,3.26,1.46,,,,90.5,1829.0,6.5,777314,693307,679529,650402,656716,595879,682985,678009,681481,54.04,,0.0,0.0,1.0,0.0,0.0,,16,5,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,136.0,0.017,-0.228,41.2,6.9,,0.228,,1,-1,0.64,0.36,28,29,29,30,1,0,5.0,3.0,7.0,,2.07,1.24,-1.24,44.9,-1.4094626936399326,24.112324207968314,30.724470583903308,50.796509708314815,13.166213853640526
FF,2025-06-29,97.0,1.63,6.08,"Bride, Jonah",681146,669373,,foul,,,,,3.0,Foul,R,R,L,DET,MIN,S,,,2,1,2025,0.35,1.41,0.7546762633468282,2.938665603458692,,,,1,3,Top,,,,,,,-3.152963806874154,-141.28275986002694,-6.199739146388443,5.390596169992134,28.3161977146778,-11.986629009267324,3.26,1.46,272.0,85.6,52.0,98.0,2356.0,6.5,777314,693307,679529,650402,656716,595879,682985,678009,681481,53.96,,,,,,,,16,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,155.0,0.005,-0.07,58.8,6.8,,0.07,88.0,1,-1,0.635,0.365,28,29,29,30,1,0,5.0,3.0,7.0,,0.98,0.35,-0.35,51.8,9.584920479152492,27.585116045650917,19.72833435493204,47.88409549805883,13.6815136753978
FF,2025-06-29,95.7,1.64,6.05,"Bride, Jonah",681146,669373,,ball,,,,,12.0,Ball,R,R,L,DET,MIN,B,,,1,1,2025,0.29,1.5,0.6869828360624068,3.5020634238950747,,,,1,3,Top,,,,,,,-3.182895335790672,-139.4022285202123,-4.546060942012524,4.458527600142958,29.893162950464493,-11.78692522630292,3.20914604996005,1.46067608634599,,,,96.5,2296.0,6.6,777314,693307,679529,650402,656716,595879,682985,678009,681481,53.89,,,,,,,,16,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,154.0,-0.004,0.055,,,,-0.055,,1,-1,0.639,0.361,28,29,29,30,1,0,5.0,3.0,7.0,,0.98,0.29,-0.29,51.8,,,,,
CH,2025-06-29,86.4,1.96,5.99,"Bride, Jonah",681146,669373,,called_strike,,,,,12.0,Called Strike,R,R,L,DET,MIN,S,,,1,0,2025,1.14,0.71,0.1963306229167498,3.362546654448029,,,,1,3,Top,,,,,,,-6.5662344792084815,-125.84834062798085,-1.5527394960429053,13.374826240891643,22.636118378023024,-24.50157713130291,3.15770523805221,1.35778692866592,,,,87.3,1812.0,6.6,777314,693307,679529,650402,656716,595879,682985,678009,681481,53.92,,,,,,,,16,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,138.0,0.004,-0.049,,,,0.049,,1,-1,0.635,0.365,28,29,29,30,1,0,5.0,3.0,7.0,,2.31,1.14,-1.14,45.9,,,,,
SL,2025-06-29,88.1,2.0,6.0,"Bride, Jonah",681146,669373,,ball,,,,,12.0,Ball,R,R,L,DET,MIN,B,,,0,0,2025,-0.26,0.4,1.1674279515417836,3.280375758083137,,,,1,3,Top,,,,,,,-1.502586241871897,-128.49911638694118,-1.4401180350608132,-2.6227726667588427,22.520237012046557,-27.670403835797337,3.10626457166277,1.30634159998063,,,,89.2,2187.0,6.5,777314,693307,679529,650402,656716,595879,682985,678009,681481,54.0,,,,,,,,16,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,208.0,-0.003,0.039,,,,-0.039,,1,-1,0.638,0.362,28,29,29,30,1,0,5.0,3.0,7.0,,2.49,-0.26,0.26,48.2,,,,,
EP,2025-06-26,51.4,-1.94,7.17,"Bride, Jonah",681146,670156,single,hit_into_play,,,,,3.0,Jonah Bride singles on a ground ball to right fielder Dominic Canzone.,R,R,R,MIN,SEA,X,9.0,ground_ball,3,2,2025,-0.43,1.86,0.7977717906811099,2.7243778486508203,,,,0,8,Bot,178.16,96.58,,,,,4.243112196044888,-74.60483110002356,2.056969268920841,-2.2061575179909148,11.021707249278604,-25.940951763512704,3.26,1.46,81.0,89.9,4.0,49.1,1194.0,4.4,777356,663728,456781,702284,810938,641487,668227,677594,686527,56.08,0.451,0.427,0.9,1.0,1.0,0.0,4.0,69,6,Eephus,10,0,10,0,0,10,10,0,Standard,Standard,200.0,0.0,0.353,,,0.521,-0.353,89.9,10,10,0.999,0.999,29,29,30,30,1,0,,4.0,,3.0,6.98,0.43,0.43,59.5,,,,,
