pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-28,93.2,-1.71,6.52,"Vázquez, Christian",543877,592836,,ball,,,,,14.0,Ball,R,R,R,PHI,MIN,B,,,0,0,2025,-1.41,1.23,0.1157519635418831,1.09236829780599,686797.0,680577.0,680837.0,1,7,Top,,,,,,,7.7521805195864815,-135.14187649396948,-10.82673809593274,-19.00416482064267,28.32120457060004,-14.843654158731896,3.15418299746537,1.54698845979851,,,,92.9,1974.0,6.2,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.3,,,,,,,,45,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,215.0,-0.009,0.038,,,,-0.038,,-1,1,0.207,0.793,32,34,33,35,1,2,3.0,2.0,10.0,,1.4,1.41,1.41,40.3,,,,,
SL,2025-09-28,88.5,2.73,6.37,"Vázquez, Christian",543877,621383,strikeout,called_strike,,,,,3.0,Christian Vázquez called out on strikes.,R,R,L,PHI,MIN,S,2.0,,3,2,2025,-0.55,0.31,0.4236221406171247,3.0661052602302363,,686797.0,,2,9,Top,,,,,,,-4.426182010717795,-128.9180975446696,-2.6919092873821957,-5.374436010898897,23.89199585630112,-28.34117017312893,3.24591965789548,1.51432209014818,,,,87.9,2348.0,5.6,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.86,,0.0,0.0,1.0,0.0,0.0,,63,6,Slider,1,1,1,1,1,1,1,1,Standard,Standard,196.0,0.108,-0.277,,,,0.277,,0,0,0.531,0.469,33,34,34,35,1,3,5.0,2.0,8.0,,2.57,-0.55,0.55,45.3,,,,,
FF,2025-09-28,93.8,2.49,6.55,"Vázquez, Christian",543877,621383,,ball,,,,,12.0,Ball,R,R,L,PHI,MIN,B,,,2,2,2025,0.23,1.13,0.1618663791331702,4.0579127495666185,,686797.0,,2,9,Top,,,,,,,-6.411224639968154,-136.52617696424383,-3.1969249811896763,4.1981400417667185,28.43799576248318,-17.559252604487703,3.17954165334736,1.51562323044574,,,,92.5,2077.0,5.4,776141,596117,547180,642215,664761,681082,805249,596146,592206,55.13,,,,,,,,63,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,152.0,-0.013,0.057,,,,-0.057,,0,0,0.544,0.4559999999999999,33,34,34,35,1,3,5.0,2.0,8.0,,1.45,0.23,-0.23,53.2,,,,,
ST,2025-09-28,83.3,2.9,6.25,"Vázquez, Christian",543877,621383,,blocked_ball,,,,,13.0,Ball In Dirt,R,R,L,PHI,MIN,B,,,1,2,2025,-1.34,-0.22,-0.7565553680060682,0.9320253708798196,,686797.0,,2,9,Top,,,,,,,-5.689581263336652,-121.06046866190664,-5.205700247539619,-11.88423531125335,26.230814701575813,-33.38528509274184,3.17999924934961,1.4843363959003,,,,82.0,2434.0,5.7,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.76,,,,,,,,63,4,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,288.0,-0.016,0.012,,,,-0.012,,0,0,0.56,0.4399999999999999,33,34,34,35,1,3,5.0,2.0,8.0,,3.54,-1.34,1.34,47.4,,,,,
FF,2025-09-28,93.3,2.63,6.52,"Vázquez, Christian",543877,621383,,foul,,,,,2.0,Foul,R,R,L,PHI,MIN,S,,,1,1,2025,0.25,1.15,0.1437308641188333,3.0051936848721175,,686797.0,,2,9,Top,,,,,,,-6.84264929890391,-135.5658744930578,-5.686417771090574,4.6941170132843055,31.548595763230445,-16.98939325818742,3.18,1.46,273.0,83.4,38.0,91.7,2105.0,5.6,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.94,,,,,,,,63,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,148.0,0.022,-0.056,65.0,5.8,,0.056,88.0,0,0,0.538,0.4619999999999999,33,34,34,35,1,3,5.0,2.0,8.0,,1.49,0.25,-0.25,49.1,0.7457167340621427,30.537919984596194,23.830392188103204,37.71202532652221,14.592624354907194
FF,2025-09-28,93.9,2.43,6.56,"Vázquez, Christian",543877,621383,,foul,,,,,5.0,Foul,R,R,L,PHI,MIN,S,,,1,0,2025,0.26,1.34,0.1054141856040219,2.310241834344465,,686797.0,,2,9,Top,,,,,,,-6.495209150762881,-136.45447174617672,-8.100384728929443,4.764546290872927,31.252071751697414,-13.75258465947902,3.18,1.46,124.0,78.9,76.0,92.3,2203.0,5.5,776141,596117,547180,642215,664761,681082,805249,596146,592206,55.01,,,,,,,,63,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,149.0,0.006,-0.044,69.4,7.2,,0.044,88.0,0,0,0.532,0.4679999999999999,33,34,34,35,1,3,5.0,2.0,8.0,,1.26,0.26,-0.26,50.3,11.396983689862015,-4.242212454589536,27.32624031308271,38.097276650526545,31.830344260404765
FF,2025-09-28,94.3,2.61,6.54,"Vázquez, Christian",543877,621383,,ball,,,,,14.0,Ball,R,R,L,PHI,MIN,B,,,0,0,2025,0.3,1.55,1.0219555900281174,1.7294068588802318,,686797.0,,2,9,Top,,,,,,,-4.731164114955625,-136.86576639990437,-10.048262298281038,4.877035768501958,32.5509537366825,-10.599984351468956,3.17908461670212,1.45904682710707,,,,92.6,2247.0,5.6,776141,596117,547180,642215,664761,681082,805249,596146,592206,54.89,,,,,,,,63,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,148.0,-0.001,0.019,,,,-0.019,,0,0,0.533,0.4669999999999999,33,34,34,35,1,3,5.0,2.0,8.0,,1.04,0.3,-0.3,51.7,,,,,
SI,2025-09-26,89.9,-1.82,4.99,"Vázquez, Christian",543877,605400,home_run,hit_into_play,,,,,4.0,Christian Vázquez homers (3) on a fly ball to left field.,R,R,R,PHI,MIN,X,,fly_ball,0,0,2025,-1.56,0.78,-0.3935674945811243,2.164534194823574,,,,2,6,Top,38.41,83.06,,,,,6.918494817160004,-130.77398164065676,-2.672279364678669,-19.356956922830953,28.376145685526076,-22.915775313106412,3.16,1.46,358.0,98.5,24.0,90.6,2155.0,6.8,776176,592663,547180,681082,664761,624641,669016,664056,592206,53.68,0.3299473684210526,0.5507368421052632,2.0,1.0,0.0,3.0,5.0,39,1,Sinker,2,0,0,2,1,2,1,2,Standard,Standard,236.0,-0.109,2.596,69.7,6.9,1.0308947368421055,-2.596,98.5,2,-2,0.832,0.168,32,34,32,35,2,1,6.0,1.0,12.0,2.0,2.05,1.56,1.56,19.8,13.423362504420378,-9.489483551572784,27.526704397638987,31.459767374416774,39.07107315973383
CH,2025-09-26,86.8,-1.73,4.9,"Vázquez, Christian",543877,605400,field_out,hit_into_play,,,,,7.0,"Christian Vázquez grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",R,R,R,PHI,MIN,X,6.0,ground_ball,0,1,2025,-1.38,0.22,-0.4224025928023784,1.8906298937832968,,,,2,3,Top,113.63,154.05,,,,,5.998516978255585,-126.2920952816597,-1.446744762795125,-15.973518257494014,27.145127109991265,-29.71567437008569,3.16,1.46,3.0,94.7,-31.0,87.3,1586.0,6.7,776176,592663,547180,681082,664761,624641,669016,664056,592206,53.77,0.066,0.047,0.0,1.0,0.0,0.0,2.0,17,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,256.0,0.01,-0.217,61.7,5.8,0.08,0.217,94.7,1,-1,0.659,0.3409999999999999,32,34,32,35,1,0,6.0,1.0,12.0,2.0,2.82,1.38,1.38,16.0,-3.5878420144995915,20.549062536287497,36.15935319206511,31.374997732042782,22.61226975712416
FF,2025-09-26,92.5,-1.58,5.1,"Vázquez, Christian",543877,605400,,called_strike,,,,,9.0,Called Strike,R,R,R,PHI,MIN,S,,,0,0,2025,-1.05,1.35,0.6225868271068706,1.827952165785817,,,,2,3,Top,,,,,,,7.9840332113552845,-134.32462278431643,-5.472369803196376,-14.46832231231276,31.45882554644193,-14.789568188686856,3.14078709186585,1.38926136835577,,,,93.0,2265.0,6.9,776176,592663,547180,681082,664761,624641,669016,664056,592206,53.6,,,,,,,,17,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,228.0,0.002,-0.043,,,,0.043,,1,-1,0.657,0.3429999999999999,32,34,32,35,1,0,6.0,1.0,12.0,2.0,1.34,1.05,1.05,20.9,,,,,
